year,date,tournament_id,tournament_name,match_name,stage,home_team,away_team,home_team_code,away_team_code,home_goals,away_goals,score,result,home_team_win,away_team_win,draw,extra_time,penalty_shootout,score_penalties,stadium,stadium_id,stadium_name,city,host_country,host_team,attendance,match_time,referee,notes
1950,1950-07-09,WC-1950,1950 FIFA World Cup,Uruguay v Spain,Final round,Uruguay,Spain,URY,ESP,2,2,2-2,draw,0,0,yes,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,0.0,44802,15:00,Benjamin Griffiths,
1950,1950-07-13,WC-1950,1950 FIFA World Cup,Brazil v Spain,Final round,Brazil,Spain,BRA,ESP,6,1,6-1,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,1.0,152772,15:00,Reginald Leafe,
1950,1950-07-13,WC-1950,1950 FIFA World Cup,Uruguay v Sweden,Final round,Uruguay,Sweden,URY,SWE,3,2,3-2,home team win,1,0,no,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,0.0,7987,15:00,Giovanni Galeati,
1950,1950-07-16,WC-1950,1950 FIFA World Cup,Sweden v Spain,Final round,Sweden,Spain,SWE,ESP,3,1,3-1,home team win,1,0,no,no,no,0-0,Estádio do Pacaembu,S-023,Estádio do Pacaembu,São Paulo,Brazil,0.0,11227,15:00,Karel Van Der Meer,
1950,1950-07-16,WC-1950,1950 FIFA World Cup,Uruguay v Brazil,Final round,Uruguay,Brazil,URY,BRA,2,1,2-1,home team win,1,0,no,no,no,0-0,Estádio do Maracanã,S-020,Estádio do Maracanã,Rio de Janeiro,Brazil,1.0,173850,15:00,George Reader,
1954,1954-06-16,WC-1954,1954 FIFA World Cup,Austria v Scotland,Group stage,Austria,Scotland,AUT,SCO,1,0,1-0,home team win,1,0,no,no,no,0-0,Hardturm Stadium,S-181,Hardturm Stadium,Zürich,Switzerland,0.0,25000,18:00,Laurent Franken,
1954,1954-06-16,WC-1954,1954 FIFA World Cup,Brazil v Mexico,Group stage,Brazil,Mexico,BRA,MEX,5,0,5-0,home team win,1,0,no,no,no,0-0,Charmilles Stadium,S-178,Charmilles Stadium,Geneva,Switzerland,0.0,13470,18:00,Paul Wyssling,
1954,1954-06-16,WC-1954,1954 FIFA World Cup,Uruguay v Czechoslovakia,Group stage,Uruguay,Czechoslovakia,URY,CSK,2,0,2-0,home team win,1,0,no,no,no,0-0,Wankdorf Stadium,S-177,Wankdorf Stadium,Bern,Switzerland,0.0,20500,18:00,Arthur Ellis,
1954,1954-06-16,WC-1954,1954 FIFA World Cup,Yugoslavia v France,Group stage,Yugoslavia,France,YUG,FRA,1,0,1-0,home team win,1,0,no,no,no,0-0,Stade Olympique de la Pontaise,S-179,Stade Olympique de la Pontaise,Lausanne,Switzerland,0.0,16000,18:00,Benjamin Griffiths,
1954,1954-06-17,WC-1954,1954 FIFA World Cup,England v Belgium,Group stage,England,Belgium,ENG,BEL,4,4,4-4,draw,0,0,yes,yes,no,0-0,St. Jakob Stadium,S-176,St. Jakob Stadium,Basel,Switzerland,0.0,14000,18:10,Emil Schmetzer,Required Extra Time
